customer_id,issue,matched_person_ids
25593,multi_match,"58923b85-5cb2-4ea7-ba15-8e390bad411a,ceda3d1e-f2d8-4331-8cbd-85d9a3e5a01a"
25620,multi_match,"5cf6af84-640f-437b-a5ac-50829a688f11,8558a384-609b-42bb-9b59-f144f8a0e09b"
25670,multi_match,"266bd291-84f7-4072-be94-353b87fdd772,92057935-a3ea-4dd1-9254-5a68e2a075e4"
25673,multi_match,"35f924ab-9fec-48cc-a6d1-93088c890617,d6d3b87e-325c-4dfb-8bae-53df32f25f72"
25684,multi_match,"1f8ac7af-783b-470a-b278-d8d142713abd,41b204ad-4f42-4ce7-ace0-0b6178d8b3b9,7a03a818-fb86-4ddc-945a-ff8c96d033a1"
25719,multi_match,"8143aa54-ecc7-4233-9372-08d5520d1e4c,bf0ce4b6-a120-4216-8ea5-0fd6ec410ace"
25721,multi_match,"10baf10b-889c-46ae-b772-74789d760fac,890a68aa-04be-4619-9d47-0b9c886ae7cc,9911b45b-0787-4978-b282-515af9d71863"
25722,multi_match,"68bc2ba2-9dfc-43f5-8a5e-3ef817b19a8d,dabf24b2-1d23-412c-8c02-e3990905390f"
25725,multi_match,"9e82fa45-cf2a-43b4-8025-4a24ce016379,e0f3075e-d83a-4b7f-988f-b1646fb19631"
25728,multi_match,"983d290c-8fe2-4fc5-b747-f49a59a2aa23,ac122815-6e4a-4d5a-bb83-080dd94368aa"
25741,multi_match,"55c9bdae-b041-43df-bd6c-06293b5eb385,93725ae3-64ab-4ab9-87bd-1c272862d576,b263fb60-09b8-4726-9fb3-4418d784ee54,d0a11bcc-312e-4143-afff-6040634388af,e911b47b-78a7-45dc-8d30-1911251dde75,eccc09cb-2460-4d22-9344-f0dc8e477deb,fd02acb5-30d4-4115-a023-636bcd56857f,fd6d7457-ccec-4938-81c2-54229108adfc"
25752,multi_match,"a5b37daa-cf36-4b05-b179-b9a15b054294,d3405a46-0bc6-4652-a4cf-5954111f8eb3"
25771,multi_match,"24a0e047-c23c-436e-817f-0eefe40e06b4,660e36ab-738e-48bc-be2d-1fd455f12582"
25774,multi_match,"e3952df8-c272-4b9f-ac2a-2af4720c6494,f0ff2c25-46d9-420d-a673-e1e83753b715"
25802,multi_match,"309c5052-6491-4ada-978a-f86befb4517f,79f5bf00-8099-49bd-ad25-6d449933f0ed"
25810,multi_match,"8b6107d4-a574-4aaf-afdd-cac6bab5b1a9,f7bbfbc4-22a0-4cc9-8564-353f68f60eaf"
25812,multi_match,"049521a0-266e-4ec0-ab13-c331a9f9aa5e,dd48afa6-a857-4b0e-8e79-6894cd660bea"
25840,multi_match,"3c217abb-41e9-460e-802b-53023e17da8d,cba15a63-1e3f-4e4f-8a02-73144a9618c5"
25841,multi_match,"c64f9911-544b-4bfc-b0ad-9a4a0270a43b,e9c96b1d-058e-460c-bdbb-212fa7dd9bbc"
25845,multi_match,"1c492f28-0d86-437c-ad1a-3d0efa053238,fa3eeb9c-1db4-43b2-bdf4-1c9713d0d8b3"
25860,multi_match,"4a70ac24-e68e-4029-a391-a0cf0e4435d6,c55a9b4c-0123-41d3-8146-dad2f256d53d"
25864,multi_match,"05a0315a-f226-42da-b028-ae3cd9b7a647,9ed8b2ee-6a13-4515-807e-b8d36fbd7b01"
25867,multi_match,"40cc0ed8-1c87-4e3e-85e7-dc891390c824,f9c5b450-db06-4375-bc88-ffff63aa17a7"
25877,multi_match,"282c9174-ff3a-4b04-ab76-2e213c0f7cd8,6e9005d5-a0a0-4a22-a449-4c35bd2d32f5"
25881,multi_match,"103efd26-8f9a-4bc9-9a9d-a02386dee3a1,14e82c90-e85a-4268-8e43-53d15af395c7,64227461-d3fb-4d94-ae1c-99eff9dfe17d"
25882,multi_match,"839fdd61-c7e4-4e6c-be1e-03409b629d74,9855afc6-5341-49a6-afd1-43f98f01c05f"
14941,multi_match,"1f9a7fb8-3792-407a-b597-d517e5d1665f,94c89799-cd3c-4032-8df3-7c6e60e912a6,a17230ae-2431-4a37-899f-9e5f82340fea"
17733,multi_match,"782a0b20-1c94-4cd5-9552-5eba2c11bdc4,be794b1c-6a00-4f23-807d-aa7584393891"
25808,multi_match,"1445086a-60e9-4774-bff4-e6d894b59206,8edb1a57-8137-41d9-9aae-3fe4158dd873"
25868,multi_match,"4d78bc65-1190-48d1-bda5-63743eec1832,c2f2438b-748c-4f15-9c43-b74412d03de3"
9293,multi_match,"92d86444-56e3-49da-a12c-4fa7b5c34ec8,9f7a268a-824f-44d4-b0a2-8dfdfee3b788"
15106,multi_match,"5eb659e2-68bb-48c8-80e9-2359fcd04d2b,bb07abc8-36e0-4269-9bd0-9ff195ff6bdf"
15675,multi_match,"95af74c2-a6ef-4719-8da4-20cac1ee2fe9,dcd0c199-cee8-41f3-994c-963d5faabc95"
16844,multi_match,"46c5407c-d017-4fcd-b10b-272dcdac1691,ad91970f-06ad-4f2c-9058-a665b7fa334f"
2136,multi_match,"2f6cb4c1-195c-48e0-9b2c-0ca1a2aa7702,d2028e12-d0ba-433e-9f33-16ee57a79798"
7502,multi_match,"d3c3bed1-6852-4c0c-ac26-2c0557e9099e,d4199e12-9807-46f3-9f86-deeafcf2e4f1"
7638,multi_match,"220d421e-7c71-422b-adf2-0e62573ee772,fa35e512-d930-4faa-aede-e309cf3bce80"
8651,multi_match,"4710c4b7-3585-4967-8c92-d4317149eab7,87282f07-d88f-43dd-b08b-100c824b926d"
9839,multi_match,"1dfc89dd-5f33-47e3-8ad0-6b15cf8c4b7c,21b7a9b5-73f2-4c48-9f48-3e4483c164ce"
9848,multi_match,"6b08d9f3-7e72-4e40-bc72-5e85d46d7fbf,f8d1af97-c2ef-443e-b45f-2982bcea02d9"
9973,multi_match,"5af44c29-ef83-4c97-b0da-765654a07d16,c5aa0223-0ed5-42fe-a5e1-a4e638d92a68"
10014,multi_match,"02853f3a-706b-4484-9675-8092dc8d5d6c,0e3d7c5f-09e8-4250-b03d-58a08f57eac4"
10041,multi_match,"422d5c01-ec3b-4620-8e2c-0067ba3e1b32,5f3e8410-893a-43e9-832b-d0d28e17e0d0"
10093,multi_match,"305b0284-3ef9-448d-8f89-165c7c5f72d6,f2f769be-5b75-48ad-bb48-c7f75e064f1e"
10108,multi_match,"8c84b441-6c7e-4242-9b62-cda86c6a500e,e6393596-46d1-4a3a-bc75-018c7a36a7d3"
10391,multi_match,"58e9ea3a-2b24-4f47-863a-d0cab38ca714,78b17640-d15f-47e3-97f5-035e57cc335a"
10430,multi_match,"913f5327-f6a1-4210-ae70-f50439d0532b,d13a9f9e-f33e-4cb8-9029-e25d51abd66c"
10481,multi_match,"32737e7c-b075-4bb4-9739-5c8a1ec633dc,64ba9095-be2e-4213-bbac-4a32393dc68a"
10758,multi_match,"89b0b1a3-4c5c-459c-8ee3-2ca6781d97a8,e4902159-15f0-40ae-a47b-9a6b5563fa68"
12228,multi_match,"821827ca-ac95-4f8d-a402-35bba0d8942e,d7f09569-ae76-40f3-8a6d-88cccb100950"
12904,multi_match,"0cc4c537-ec47-4d7a-b022-022f35a8dcf5,ab1752f1-72cd-4d6a-b2f0-5541d03bdc19"
13160,multi_match,"3e973640-dd5b-483a-bdd4-1c647457dffb,79a9859f-8db1-4c26-82d5-50e312823041"
13393,multi_match,"a2ceb493-049f-4f34-8bdb-0a43365752f7,e3ee09f7-cb7a-420f-8da5-e9a73dcc9a49"
13433,multi_match,"326af7d6-6851-4389-ae1f-f2640573c51e,535e131c-7769-4848-b9ab-1fb9a1e4893f"
14515,multi_match,"5b0ae551-7262-47e0-a51c-e7a18b7ebdbd,a4250d96-900a-463a-af48-4a6499fa124a"
14616,multi_match,"32da28f6-5658-4ce5-b1cf-5a13982ec0b0,fa0a5138-c503-477f-8e81-165800f1773d"
14970,multi_match,"0bd33cb9-3b09-4d0a-a607-de15f9ea0958,6e29c7a4-32bd-4a95-ae9a-25f84e3b24cc"
15351,multi_match,"ad123dd6-b5a4-4a22-925c-223cd00536d3,d5abf018-5adf-4e46-a0d7-e4b4d957df95"
15353,multi_match,"1f0e56d1-e4e4-4b80-ba97-db2afe962065,9e8256db-a3ec-40ed-a760-1c5119fca87e"
16600,multi_match,"6e182bb3-7222-4963-9cf4-a2da79f40873,bd6d4f1c-3281-4ad8-b755-27a0a8333120"
16729,multi_match,"187e4e3b-a1bd-4ecf-90e9-754e71778902,ca9c0daa-4e1c-43da-9a94-002133256c45"
17058,multi_match,"6a63aae4-5c80-4325-967a-9a2ae292e208,70c3f6f2-56d8-4367-aa25-a02d98ea026f"
17249,multi_match,"56db15eb-e1e8-4b7b-9770-e10d5b55a1a1,6900a3ae-3ad8-4431-8981-8ef0877197ef"
17474,multi_match,"4b544ddd-15bf-4eac-a2b4-a2610915e35c,fed73a62-5834-4fa7-be29-60e0023237d9"
17651,multi_match,"ab00e253-3521-4778-aca3-336cf8c5c61e,b2229bcb-c51a-4815-90a5-e969d8921a88"
17704,multi_match,"0fa5ef74-b85e-44f6-931e-d9025fb7162c,bb46654b-a468-450d-bd8f-b4ae140155d1"
17709,multi_match,"3fc11ecf-5f13-4d1c-b496-a67149b8da3e,f6039307-b9e0-4688-8ccf-6d177c198b50"
23992,multi_match,"5fd0e241-d905-4b66-89de-5c41b87e2d4f,a806977b-fdb8-4c18-b9dc-b7ff83fd2a49"
25282,multi_match,"4f1a6ebf-3e09-41a5-8f26-0bcebb345493,95471ae2-b265-4cae-a5bf-631537fabed0"
25676,multi_match,"b5886e8c-c38d-45d9-aea5-7f57b25377dd,e88bf9db-0d80-40f6-a52b-58f6c8875a07"
25731,multi_match,"477448f3-b249-42e7-b4bd-e6473b11807f,aca38672-e95c-41de-8d29-f3fa8a8a2626"
25836,multi_match,"12744090-68bc-4031-9c1c-bb558c612921,39304f91-07c8-4765-9698-319cafe78de2"
25311,multi_match,"0ee8e3b3-8770-4cb1-8d97-0bc90b92b741,eb2f9a5f-ed28-492d-bcff-aed68a882a86"
25397,multi_match,"0d1127f3-547c-4742-b0b6-c77a24cab276,24d4701a-17f3-4337-a63a-4fdb3ad5d54b"
25651,multi_match,"8dbdccd1-e3cb-4226-8700-3665b8672c99,c1307136-e444-49a8-a12c-716bc559d97a"
25655,multi_match,"60895de4-016f-4f1f-b398-aefecd404e23,dba9c08f-06ad-4688-94da-c56bbdcb4fc4"
25811,multi_match,"3d5d0413-89a8-46dd-b81f-2fc991e7475e,7bf43325-0975-42af-b888-a77952ebfe79"
25861,multi_match,"154c36e6-b811-4049-810d-81161ceec8d5,eb2d2178-c113-48fc-b4df-6c78c72ca276"
25479,multi_match,"3525f29c-165d-47d7-9357-80fb3de45581,e7a65277-7620-4a65-a1e5-720afa8251a1"
901,multi_match,"e1715575-3fc3-4d53-8e4f-352898e020c4,e42d3c76-ac20-4b39-840c-405b4290a464"
952,multi_match,"21271897-4386-4999-98b6-5f7969a071e5,793a037e-dd20-4700-af76-4833818cfb5f"
961,multi_match,"6a1da493-45be-4692-863a-a8a09f25a04b,b2283425-020f-4e6e-9dd3-9643bc5a5660"
8376,multi_match,"02bc0e76-aaf1-4fab-b0ed-094aa9ffb9f5,141c99db-ddb5-4644-bf16-886b72dfceb8"
8701,multi_match,"7c56c4a0-56ab-4163-ba19-d906b026b316,a5ffe3f5-0b32-4edc-9bc0-e81c1cf0a49f"
9958,multi_match,"6156a75e-7378-4a16-ab2c-23f13d9b74b7,f9df881b-a306-44b9-a3a7-a486bd2a9c8e"
9968,multi_match,"80ea28f3-dd77-4b4b-a8be-ac00cad4caf1,b09131f3-c09d-43c8-b60a-e7c8923ccec5"
9990,multi_match,"66719185-2eef-4dfa-b2fa-13a4f7195da8,7c6fdbb4-ab8c-43da-be7b-2fed2a1644af"
10124,multi_match,"734afccd-8d18-42ce-ad5c-aae858110d1f,edb0a8d5-ace4-4263-b12e-b5a8c7381b80"
11035,multi_match,"ae742047-5ead-4bba-8b51-03139ffa4e1e,bacdd564-f071-4013-9104-3d397f1ec749"
11392,multi_match,"578f3b9c-ec27-4a46-ba7b-f440dac74e02,ee39574a-d21d-4b9d-9443-bfa814c9fb95"
13578,multi_match,"3c772f81-bdf6-414d-84a4-78291bc50dc7,e7fe8ec9-9bc7-428d-b77f-e11da3bd402a"
13875,multi_match,"59dca567-054c-4e6b-8efb-9332dda4e59a,b4eb92f7-7bee-4cb4-ae3c-ce05295f00a3"
